,Alpaca 7B,BERT,Baichuan 2 7B Chat,ChatGLM2 6B,ChatGPT,Claude 1,Claude 2,Claude 3,Claude 3 Opus,Claude 3.5,Claude 3.5 Sonnet,Claude 4,Claude 4.5,DALL-E 3,DeepSeek,DeepSeek R1,DeepSeek V3,Falcon 7B,Falcon 7B Instruct,GLM 4 9B Chat,GPT-2,GPT-3.5,GPT-3.5 Turbo,GPT-4,GPT-4 Turbo,GPT-4o,GPT-4o Mini,GPT-5,Gemini,Gemini 1.5,Gemini 1.5 Pro,Gemini 2,Gemini Pro,Gemma,Gemma 2,Gemma 3,Gemma 4B,Gemma 7B,Gemma 7B IT,Grok 2,Guanaco 7B,InstructBLIP,LLaVA,LLaVA 1.5,LLaVA 7B,Llama,Llama 2,Llama 2 13B,Llama 2 70B,Llama 2 7B,Llama 3,Llama 3 70B,Llama 3 8B,Llama 3.1,Llama 3.2,Llama 3.3,Llama 4,Llama 7B,Llama Guard,Llama Guard 2 8B,Llama Guard 3 8B,Mistral,Mistral 7B,Mixtral,Mixtral 8x7B,Mixtral 8x7B 8X7B,Mixtral 8x7B Instruct,PaLM 2,Phi,Qwen 2,Qwen 2.5,Qwen 3 8B,Qwen 7B,Qwen Max,Stable Diffusion,Vicuna,o1,o3,o3-mini,o4-mini
Claude 3.5 Sonnet,0.9473999,0.9446898,0.96508783,0.95223105,0.9699856,0.9596785,0.98533124,0.9874947,0.9750724,0.9723492,0.9999997,0.96857595,0.9462275,0.81704086,0.97232187,0.9846048,0.9773481,0.9205987,0.94230646,0.96065915,0.98011565,0.9738358,0.99342054,0.9914303,0.99219203,0.98875713,0.99483067,0.9613998,0.97637045,0.98523897,0.99057764,0.97678006,0.9849251,0.93206334,0.97729117,0.9568318,0.8973797,0.9507268,0.976889,0.95132554,0.9625306,0.873819,0.85619134,0.8815068,0.87938315,0.9548043,0.9874336,0.98489743,0.97162443,0.9860747,0.98442495,0.9922802,0.98715746,0.9905464,0.9713474,0.9690388,0.9501575,0.9426736,0.9432581,0.9308359,0.97140306,0.9888288,0.9865047,0.95577085,0.9736166,0.9063178,0.959771,0.90895516,0.9756097,0.97611713,0.97496164,0.921811,0.95972204,0.9659713,0.89973843,0.9875517,0.9748754,0.9635855,0.95021737,0.9426953
Claude 4,0.9200171,0.92637116,0.942555,0.92724204,0.9418008,0.9318543,0.9598685,0.9826988,0.93945533,0.98341805,0.96857595,0.9999998,0.9715659,0.82591593,0.9846844,0.9771748,0.972459,0.915076,0.91686267,0.9336197,0.95285064,0.9767247,0.9669469,0.97664946,0.96271306,0.9836122,0.968029,0.98343194,0.9459082,0.9733014,0.9549128,0.9854018,0.9585257,0.9327683,0.97201496,0.9578827,0.902657,0.95369303,0.946508,0.94000465,0.9284438,0.8645726,0.8539256,0.8652097,0.8748667,0.9328077,0.96065104,0.9654534,0.9562315,0.9650898,0.970437,0.96991664,0.9730545,0.9806305,0.96775025,0.98091364,0.97417665,0.91383445,0.9354457,0.91728634,0.9668382,0.97426665,0.97307426,0.9316615,0.9508416,0.9194399,0.9270393,0.88511264,0.97002834,0.95804095,0.9781427,0.93624985,0.93851244,0.95196867,0.88144225,0.9629962,0.97342116,0.9811865,0.9503775,0.9711152
Claude 4.5,0.9027453,0.90550935,0.920776,0.92063355,0.9309524,0.90487975,0.93979585,0.96700674,0.92135537,0.97593457,0.9462275,0.9715659,0.9999995,0.80885994,0.9756512,0.9488246,0.94129837,0.90951544,0.89518285,0.89466757,0.93929243,0.96967906,0.94584984,0.96106446,0.9394409,0.9699335,0.9464062,0.9816852,0.9255135,0.9597108,0.93481064,0.9773131,0.9351509,0.93265563,0.9550437,0.9311241,0.9164427,0.9436514,0.92470807,0.9094841,0.897919,0.85286605,0.8491138,0.85669374,0.867082,0.91736674,0.9427227,0.94402474,0.93415827,0.945073,0.9544652,0.94978464,0.95647913,0.96419674,0.9577831,0.9747592,0.9772909,0.90614784,0.9055827,0.8928111,0.9430178,0.9585957,0.9571768,0.9135745,0.9281013,0.9241909,0.9027246,0.87350404,0.962177,0.94194525,0.9684829,0.9192034,0.92409015,0.93383145,0.8578028,0.9410592,0.95557064,0.9718447,0.93888974,0.9674711
DALL-E 3,0.7937032,0.8288482,0.79478097,0.7654271,0.81609464,0.7911807,0.8119167,0.8223633,0.7677716,0.845345,0.81704086,0.82591593,0.80885994,1.0000006,0.82777315,0.83108234,0.85276175,0.77830607,0.7769255,0.7819491,0.79158276,0.82906955,0.82848054,0.8492874,0.8045112,0.8459692,0.8297589,0.81936723,0.8500031,0.83733195,0.81664884,0.8468641,0.8058311,0.7833436,0.81669384,0.8296982,0.77200985,0.80682087,0.78446585,0.7894918,0.78516865,0.84871656,0.8406145,0.8472021,0.83334416,0.82523763,0.8317922,0.82866174,0.81730634,0.82066137,0.8237489,0.81536,0.8292992,0.8204183,0.82171774,0.81808054,0.8244892,0.77373713,0.8293588,0.81523037,0.81844145,0.82747704,0.8324709,0.7508364,0.78747505,0.7807352,0.7650956,0.8189183,0.824492,0.8252484,0.8440433,0.8056429,0.81777227,0.84696704,0.8894023,0.82860994,0.80311275,0.8181872,0.7972376,0.80479896
DeepSeek,0.92702657,0.93546486,0.9461058,0.94105446,0.9494478,0.93370765,0.96315885,0.9883546,0.93992734,0.98843116,0.97232187,0.9846844,0.9756512,0.82777315,1.0000005,0.9811175,0.9716637,0.9275088,0.924889,0.9371131,0.95925826,0.9888746,0.9711204,0.98235273,0.96627235,0.9886035,0.97094643,0.9864375,0.9499682,0.9793371,0.95803994,0.9910909,0.9605679,0.9475723,0.9798468,0.95457655,0.9135509,0.9628881,0.9503731,0.9330022,0.93199784,0.8718524,0.8650737,0.8705607,0.88555783,0.94126165,0.96506023,0.9728309,0.9605479,0.9728779,0.97730845,0.9743241,0.98152184,0.9865184,0.9778873,0.98743105,0.98103976,0.9298776,0.93863416,0.91531307,0.96431696,0.97782266,0.9809627,0.9380074,0.95662713,0.9355486,0.92923486,0.88524675,0.9800053,0.9652627,0.98874056,0.93941116,0.95950586,0.94750184,0.8817679,0.9699261,0.98707974,0.98690176,0.9582476,0.9782483
DeepSeek R1,0.9408423,0.9402831,0.96134603,0.94328654,0.9591169,0.9535502,0.9748177,0.9848296,0.95277804,0.9742291,0.9846048,0.9771748,0.9488246,0.83108234,0.9811175,1.0000006,0.9865376,0.9250449,0.9385003,0.9564339,0.96857375,0.97940916,0.9844007,0.9859457,0.97897434,0.9862477,0.9829125,0.96537274,0.9603591,0.9782379,0.9717089,0.9792103,0.97262317,0.94069976,0.9801609,0.9661917,0.8951145,0.95963764,0.9678598,0.94673824,0.9538534,0.8669456,0.85291034,0.8737277,0.8779467,0.9461176,0.9776937,0.9834298,0.9700204,0.98375005,0.981925,0.9844329,0.9851977,0.98914707,0.97306824,0.9725983,0.9590855,0.9371407,0.9499215,0.9330819,0.9683806,0.9822252,0.9855131,0.94289577,0.96649545,0.91660637,0.948362,0.89645636,0.9764422,0.9708895,0.981101,0.9377752,0.966644,0.9598857,0.8907242,0.9821598,0.97912866,0.96883184,0.95610446,0.95167834
DeepSeek V3,0.931059,0.9560374,0.9498066,0.9324366,0.9523993,0.9396881,0.9666768,0.978664,0.9406348,0.97162193,0.9773481,0.972459,0.94129837,0.85276175,0.9716637,0.9865376,0.99999964,0.90764004,0.92532706,0.9461179,0.9593911,0.9674043,0.9772686,0.9797146,0.9685648,0.98085856,0.9791246,0.9581327,0.9563254,0.9722297,0.96545684,0.97783643,0.9641324,0.92180264,0.96838117,0.96456873,0.8841311,0.94779104,0.9529267,0.94637084,0.9418365,0.87240183,0.8598631,0.8814902,0.8817848,0.9491716,0.97090816,0.97403246,0.9573729,0.9717534,0.97300965,0.97802424,0.97456115,0.97907877,0.9641337,0.96391684,0.9547957,0.9246334,0.9513802,0.93961996,0.9617169,0.9732463,0.9762808,0.9186664,0.9598497,0.9084674,0.9315837,0.9174404,0.96877676,0.96169263,0.9743321,0.9326891,0.9524478,0.960458,0.8996238,0.9734608,0.9663961,0.9655816,0.94548047,0.94182986
Falcon 7B,0.91768795,0.88016415,0.90104264,0.8880207,0.9271128,0.8899664,0.9183255,0.9248801,0.895101,0.9282732,0.9205987,0.915076,0.90951544,0.77830607,0.9275088,0.9250449,0.90764004,0.99999964,0.92381835,0.8909482,0.9249018,0.9435772,0.9329462,0.9382378,0.924092,0.9374662,0.9247473,0.9180111,0.9178836,0.92251444,0.9102523,0.9215033,0.91801584,0.9126785,0.953321,0.88778496,0.897391,0.9481817,0.93012303,0.85405934,0.9161202,0.8534097,0.8544916,0.83290607,0.87327373,0.9028356,0.9318891,0.9478434,0.9319037,0.950806,0.9407349,0.9287015,0.9508117,0.94427365,0.95134866,0.9287812,0.9221483,0.9302673,0.9006235,0.87158763,0.9155183,0.931579,0.9512983,0.9054135,0.90545106,0.8596733,0.8973883,0.81487715,0.94769627,0.9345714,0.9475154,0.86150587,0.91733766,0.90009534,0.8325427,0.94677,0.90833837,0.913222,0.8737725,0.89246696
Falcon 7B Instruct,0.9300706,0.88555884,0.93804276,0.90594417,0.93811774,0.92554104,0.94369256,0.93124765,0.912416,0.92677295,0.94230646,0.91686267,0.89518285,0.7769255,0.924889,0.9385003,0.92532706,0.92381835,0.9999998,0.914525,0.9433315,0.9435997,0.9551009,0.9491022,0.9489543,0.9406396,0.93892395,0.91440874,0.9369218,0.9343046,0.9338295,0.9204389,0.9433139,0.89499533,0.9493011,0.9062258,0.87462956,0.9382821,0.9418226,0.8905191,0.9479496,0.844502,0.8364131,0.8402749,0.8496351,0.92447937,0.9490083,0.9527426,0.94543946,0.9633977,0.9510604,0.94261485,0.95507663,0.94681895,0.93763876,0.92876536,0.90351003,0.93011063,0.91100824,0.9025683,0.93181056,0.94496596,0.9568422,0.9208086,0.92805684,0.84766245,0.9293181,0.83669734,0.94352853,0.9319559,0.9384779,0.8632364,0.9310164,0.91468894,0.838962,0.9638443,0.9183064,0.9048301,0.88795495,0.88504124
GLM 4 9B Chat,0.9136157,0.91350377,0.9439518,0.9109823,0.92629397,0.9316405,0.95020765,0.94498634,0.93182534,0.93562263,0.96065915,0.9336197,0.89466757,0.7819491,0.9371131,0.9564339,0.9461179,0.8909482,0.914525,0.99999946,0.9414149,0.9393336,0.9595083,0.95493215,0.95562565,0.9516654,0.95629096,0.9200384,0.9430026,0.94678724,0.9489156,0.93682903,0.9506526,0.8977178,0.94930506,0.9238662,0.8535087,0.9188272,0.94173515,0.9071968,0.9382794,0.8430814,0.82292515,0.8450141,0.84308344,0.9230192,0.95025885,0.958532,0.95011187,0.95854086,0.9508225,0.95908093,0.9566964,0.95867544,0.9392487,0.9295318,0.9139444,0.91333455,0.9079038,0.89418775,0.9296112,0.9522583,0.9529206,0.92885613,0.93923086,0.8647096,0.9287631,0.8606305,0.9391227,0.9436059,0.9435568,0.8844868,0.92648566,0.92465097,0.8597969,0.9580334,0.93769574,0.9263385,0.9058479,0.90417576
GPT-2,0.9470392,0.92739683,0.95730674,0.9559224,0.9713376,0.95017207,0.9762929,0.97059196,0.9566559,0.9586575,0.98011565,0.95285064,0.93929243,0.79158276,0.95925826,0.96857375,0.9593911,0.9249018,0.9433315,0.9414149,1.0000007,0.96978676,0.98437095,0.9802613,0.9778556,0.97559917,0.9780315,0.9527035,0.96328735,0.972579,0.97262925,0.96137017,0.9737609,0.92876047,0.9696478,0.9437024,0.8988897,0.9516315,0.96572274,0.9276707,0.9502845,0.8525549,0.8386741,0.8609246,0.86350155,0.94602305,0.9763255,0.9767341,0.96435153,0.9804335,0.97971666,0.98002845,0.9782569,0.9795906,0.961565,0.96156204,0.9441489,0.94847184,0.9291828,0.9117646,0.9631156,0.97380227,0.980133,0.945221,0.9598285,0.9065153,0.9607878,0.8953751,0.97007483,0.96290284,0.96462643,0.9080258,0.9485172,0.94655657,0.86740226,0.97825503,0.9563095,0.9478083,0.92382276,0.92710066
GPT-3.5,0.9442547,0.935574,0.9536824,0.94663715,0.9631611,0.9406585,0.9679657,0.98283255,0.9429058,0.9853269,0.9738358,0.9767247,0.96967906,0.82906955,0.9888746,0.97940916,0.9674043,0.9435772,0.9435997,0.9393336,0.96978676,1.0000004,0.979592,0.98852944,0.97227895,0.99030566,0.9741951,0.9825144,0.96135956,0.9826366,0.9591741,0.9846247,0.9684203,0.9560343,0.9866216,0.9551403,0.9183889,0.97224694,0.9591683,0.9261061,0.9450101,0.8779327,0.8724873,0.87027174,0.88924557,0.945985,0.9736333,0.98161036,0.9701878,0.98395324,0.98502964,0.9771705,0.98902893,0.9885859,0.98278093,0.985827,0.9766561,0.9458807,0.93911827,0.9150441,0.9659635,0.9806826,0.9895047,0.94086486,0.9578227,0.9394019,0.9371349,0.8885184,0.98598707,0.971474,0.9904395,0.9369527,0.9577261,0.9494143,0.8811653,0.9797214,0.9750552,0.9776273,0.9440221,0.9631268
GPT-3.5 Turbo,0.9553053,0.9474351,0.9685214,0.9507346,0.97916067,0.96578616,0.99049556,0.9847947,0.96818507,0.97149336,0.99342054,0.9669469,0.94584984,0.82848054,0.9711204,0.9844007,0.9772686,0.9329462,0.9551009,0.9595083,0.98437095,0.979592,0.9999996,0.99512434,0.99263114,0.98973924,0.99314535,0.9612744,0.981729,0.98542327,0.9857465,0.9743843,0.9874401,0.9355337,0.98277384,0.9555802,0.9031657,0.9600229,0.981304,0.9448504,0.97361785,0.8748809,0.86000293,0.88500273,0.8799884,0.9613492,0.9927774,0.99181664,0.9794698,0.99397784,0.99082315,0.99224144,0.9922045,0.9916762,0.9749897,0.97185326,0.953546,0.9495179,0.95032346,0.9390664,0.9724118,0.9914552,0.9923636,0.9546572,0.9694838,0.90425533,0.96563315,0.9124651,0.9806788,0.9776871,0.9787935,0.91577125,0.9596399,0.9678377,0.8952324,0.99518096,0.9670896,0.95926243,0.9409615,0.9374766
GPT-4,0.95167315,0.9515723,0.9658929,0.95243895,0.9761577,0.9568913,0.98510283,0.9891324,0.9631303,0.9853468,0.9914303,0.97664946,0.96106446,0.8492874,0.98235273,0.9859457,0.9797146,0.9382378,0.9491022,0.95493215,0.9802613,0.98852944,0.99512434,1.0000002,0.9875932,0.9971945,0.9927094,0.9748261,0.9830037,0.99173325,0.9840526,0.98756987,0.98460346,0.9447198,0.9858557,0.9617796,0.91761774,0.9659864,0.974178,0.9431869,0.9625067,0.90214956,0.8895557,0.90368223,0.90571225,0.9646618,0.9914008,0.989915,0.97685045,0.99088395,0.9909092,0.9901511,0.9940912,0.993718,0.98274463,0.9810804,0.96766496,0.95068824,0.9508735,0.9348909,0.97460145,0.99220943,0.9943121,0.9507157,0.9686361,0.9203512,0.9554681,0.91453743,0.98619986,0.9821828,0.9891156,0.930739,0.9644941,0.9683302,0.9138715,0.99261683,0.9743672,0.97324985,0.94856584,0.9543319
GPT-4 Turbo,0.94698054,0.9308292,0.9618797,0.947637,0.97188956,0.9603688,0.982032,0.98197013,0.9722357,0.965527,0.99219203,0.96271306,0.9394409,0.8045112,0.96627235,0.97897434,0.9685648,0.924092,0.9489543,0.95562565,0.9778556,0.97227895,0.99263114,0.9875932,1.0000017,0.9835576,0.9880535,0.95724016,0.9743283,0.9799533,0.9849078,0.9680228,0.98397195,0.93125325,0.97702134,0.94620085,0.89654076,0.9517519,0.9784776,0.93996066,0.96846974,0.8649457,0.84759027,0.8702985,0.87058747,0.95210224,0.9847346,0.98466325,0.97429687,0.9867745,0.98333627,0.98833334,0.98518693,0.98711634,0.9700936,0.965776,0.9428009,0.9395666,0.94108176,0.932555,0.9673049,0.98691005,0.98511523,0.9574281,0.9727011,0.8965173,0.9618987,0.89431745,0.9737781,0.9707262,0.9704609,0.90696174,0.9567233,0.9594787,0.8841972,0.9885516,0.9663974,0.9549231,0.93985516,0.9351906
GPT-4o,0.9462642,0.9515996,0.960291,0.950195,0.97104824,0.9498748,0.97960037,0.9912782,0.9601978,0.99108016,0.98875713,0.9836122,0.9699335,0.8459692,0.9886035,0.9862477,0.98085856,0.9374662,0.9406396,0.9516654,0.97559917,0.99030566,0.98973924,0.9971945,0.9835576,1.0000006,0.9904357,0.981366,0.97719115,0.9926399,0.9799314,0.99355793,0.9796729,0.9472848,0.9866481,0.96232444,0.92295,0.96698004,0.96791214,0.94178516,0.9537875,0.9014394,0.8912327,0.8993228,0.90999377,0.96013975,0.98668224,0.9862354,0.97203743,0.9868685,0.9900055,0.9880915,0.99271923,0.9948434,0.9861314,0.9868605,0.9748608,0.9448691,0.9502629,0.93134576,0.97287613,0.99018985,0.9931892,0.94838786,0.96620315,0.92712796,0.94901377,0.909882,0.98820084,0.9844951,0.9935315,0.9383608,0.961841,0.96541643,0.91383934,0.98757315,0.97867596,0.98094547,0.9513279,0.9636477
